timestep,average_reward
42600,-2.2586725
42700,-2.1260357
42800,-2.3216379
42900,-2.2492778
43000,-1.924091
43100,-2.2630649
43200,-2.0434523
43300,-2.3928246
43400,-2.1600306
43500,-2.1134531
43600,-2.2884638
43700,-2.793826
43800,-2.2919936
43900,-2.5703237
44000,-2.2486064
44100,-1.8274417
44200,-2.2168174
44300,-2.0984635
44400,-2.253302
44500,-2.5166059
44600,-2.5044382
44700,-2.0728064
44800,-2.2714725
44900,-1.7849268
45000,-2.5048018
45100,-1.9527428
45200,-2.4236135
45300,-2.7389894
45400,-2.3367193
45500,-2.184247
45600,-1.8758069
45700,-2.227786
45800,-2.048427
45900,-1.7657683
46000,-1.9078604
46100,-2.195828
46200,-2.3835723
46300,-2.2641137
46400,-2.112032
46500,-2.2531474
46600,-2.0016532
46700,-2.4051585
46800,-1.7280586
46900,-1.8812698
47000,-2.2109714
47100,-2.2881973
47200,-2.3963358
47300,-2.400125
47400,-1.8756007
47500,-1.8868519
47600,-2.453999
47700,-2.3519814
47800,-2.3049378
47900,-2.5868244
48000,-2.6436307
48100,-1.8995526
48200,-2.5020537
48300,-2.0852325
48400,-2.9479165
48500,-1.932061
48600,-2.541619
48700,-1.820929
48800,-1.9200886
48900,-1.8225511
49000,-2.1234784
49100,-2.5893328
49200,-2.61113
49300,-2.697208
49400,-1.9134767
49500,-2.2744734
49600,-2.11647
49700,-1.9269495
49800,-2.4656184
49900,-2.3665063
50000,-2.199614
50100,-2.1071768
50200,-2.2177896
50300,-1.990616
50400,-2.1203222
50500,-1.7830439
50600,-1.786342
50700,-1.8648612
50800,-2.6942496
50900,-1.8717762
51000,-2.2451532
51100,-2.3353627
51200,-1.9118978
51300,-3.2699628
51400,-2.0023267
51500,-3.0902479
51600,-2.8264694
51700,-2.3179018
51800,-2.3842022
51900,-1.8697451
52000,-1.8729101
52100,-1.95248
52200,-1.8648942
52300,-2.6479762
52400,-2.0541193
52500,-1.8619341
52600,-2.144673
52700,-1.7891645
52800,-2.7389722
52900,-2.7436614
53000,-1.9243089
53100,-1.8744206
53200,-1.9531232
53300,-2.1148684
53400,-1.9986438
53500,-2.8120108
53600,-2.0465271
53700,-2.4666402
53800,-2.3714442
53900,-2.9737606
54000,-1.9882501
54100,-2.7756205
54200,-2.018478
54300,-2.3868802
54400,-2.738508
54500,-2.5944626
54600,-2.8028812
54700,-1.7592099
54800,-2.1315973
54900,-2.058972
55000,-1.8089724
55100,-1.9469113
55200,-1.7830243
55300,-1.7958844
55400,-2.3562531
55500,-2.1987345
55600,-2.3471627
55700,-2.0090714
55800,-2.180726
55900,-2.0106683
56000,-1.8879972
56100,-2.12046
56200,-1.9291569
56300,-2.083665
56400,-1.9448633
56500,-1.8538654
56600,-2.0145223
56700,-1.8523005
56800,-1.863503
56900,-2.4033873
57000,-2.2881343
57100,-2.309108
57200,-2.16289
57300,-1.8411714
57400,-2.2006588
57500,-2.340934
57600,-1.8072957
57700,-1.8255785
57800,-2.0884168
57900,-1.8474813
58000,-2.1611705
58100,-2.028853
58200,-1.8730983
58300,-2.314256
58400,-1.8328421
58500,-1.9303768
58600,-2.0695224
58700,-1.8777536
58800,-2.1328177
58900,-2.2676268
59000,-2.4785635
59100,-2.2000544
59200,-1.9889286
59300,-1.9739974
59400,-2.2443225
59500,-1.8996314
59600,-2.4936235
59700,-2.1977694
59800,-2.166261
59900,-2.0212746
60000,-2.2859435
60100,-2.320938
60200,-2.0123518
60300,-2.3701284
60400,-2.6787772
60500,-1.8431011
60600,-2.0309467
60700,-2.62207
60800,-1.9229518
60900,-1.8100315
61000,-2.2112827
61100,-2.1506252
61200,-2.2603505
61300,-2.08394
61400,-1.8399956
61500,-1.8760375
61600,-2.1882966
61700,-1.8617588
61800,-1.9007016
61900,-2.3440237
62000,-1.7648419
62100,-1.9432199
62200,-1.8041892
62300,-2.1273265
62400,-1.7647693
62500,-2.5316677
62600,-2.3630204
62700,-2.229534
62800,-2.4140742
62900,-2.0169268
63000,-2.0635726
63100,-2.5117838
63200,-1.9444401
63300,-2.4244099
63400,-1.9918303
63500,-2.4090421
63600,-1.9368767
63700,-2.4274259
63800,-2.1612692
63900,-2.2282157
64000,-2.4653618
64100,-2.4213958
64200,-2.30838
64300,-2.3279853
64400,-2.1924253
64500,-1.9517883
64600,-2.0212517
64700,-2.1828563
64800,-2.1004543
64900,-2.4279673
65000,-2.109532
65100,-2.3603868
65200,-2.1456187
65300,-2.3250177
65400,-1.9321563
65500,-1.7245477
65600,-1.8302494
65700,-2.2914777
65800,-2.2124588
65900,-2.2658777
66000,-2.0347657
66100,-2.067218
66200,-1.9327745
66300,-2.0245004
66400,-2.2039592
66500,-1.7552937
66600,-2.0318356
66700,-2.3756557
66800,-2.7465026
66900,-2.0670404
67000,-2.2243276
67100,-1.8941467
67200,-1.9890786
67300,-2.5555565
67400,-1.8885459
67500,-2.1032546
67600,-1.9520575
67700,-2.1022844
67800,-2.3930821
67900,-2.2287974
68000,-2.4550312
68100,-2.0324335
68200,-2.3098052
68300,-2.4235435
68400,-1.8147588
68500,-1.9166836
68600,-1.8403842
68700,-2.5674293
68800,-2.0317018
68900,-2.3325362
69000,-2.2940624
69100,-2.3705359
69200,-2.089302
69300,-1.9974104
69400,-2.3347754
69500,-2.1354432
69600,-1.9595042
69700,-2.4139917
69800,-2.0635023
69900,-1.9942982
70000,-2.0859275
70100,-1.8265256
70200,-2.9131663
70300,-1.7339565
70400,-2.456809
70500,-2.348636
70600,-1.8296283
70700,-1.9400504
70800,-2.1967394
70900,-2.139657
71000,-2.0205617
71100,-2.009825
71200,-1.9325585
71300,-1.7630789
71400,-1.9995499
71500,-1.9813882
71600,-1.8728204
71700,-1.8756183
71800,-2.2780273
71900,-1.9057089
72000,-2.106724
72100,-1.8951735
72200,-2.0169783
72300,-2.0807934
72400,-2.6994684
72500,-2.1234305
72600,-2.17598
72700,-1.827086
72800,-1.8816895
72900,-2.106019
73000,-1.9280394
73100,-2.0962489
73200,-1.9393524
73300,-2.4491396
73400,-2.353266
73500,-2.297624
73600,-2.0550022
73700,-1.7777737
73800,-2.0915027
73900,-2.1782675
74000,-1.9515752
74100,-2.2490773
74200,-2.013865
74300,-2.1144152
74400,-2.2037265
74500,-2.3900404
74600,-2.3408113
74700,-2.2376099
74800,-2.3581583
74900,-2.1038082
75000,-2.21118
75100,-2.023151
75200,-2.0390513
75300,-1.8999894
75400,-2.3324015
75500,-2.239054
75600,-2.2057016
75700,-1.9609674
75800,-1.8776774
75900,-2.4019809
76000,-1.8594728
76100,-1.8915086
76200,-2.2456124
76300,-1.9601434
76400,-2.2520342
76500,-2.1736572
76600,-1.92173
76700,-1.9731548
76800,-1.9333721
76900,-2.0589209
77000,-2.434314
77100,-2.0235486
77200,-2.1921983
77300,-1.8931881
77400,-1.813468
77500,-2.0445974
77600,-1.8518733
77700,-2.0164618
77800,-2.2187338
77900,-2.1391327
78000,-2.1935282
78100,-2.01027
78200,-2.0419717
78300,-2.133765
78400,-2.1425974
78500,-2.2302394
78600,-1.828923
78700,-1.9042957
78800,-1.929786
78900,-2.0798194
79000,-2.0477488
79100,-2.1709106
79200,-2.1804173
79300,-2.5400126
79400,-1.9076164
79500,-1.9694136
79600,-2.164116
79700,-2.5162346
79800,-2.037654
79900,-2.118844
80000,-2.5016198
80100,-2.2784622
80200,-1.8959298
80300,-2.2544518
80400,-2.1420126
80500,-2.3462658
80600,-2.1046615
80700,-2.01153
80800,-2.1742136
80900,-2.0631835
81000,-2.1143615
81100,-2.2364292
81200,-1.951054
81300,-1.9682965
81400,-1.8758171
81500,-2.4576168
81600,-2.2505305
81700,-1.836655
81800,-2.2346811
81900,-1.8415468
82000,-1.994444
82100,-2.1421156
82200,-2.1032083
82300,-2.0676715
82400,-2.1073217
82500,-2.1229563
82600,-2.188768
82700,-2.0447474
82800,-2.1400123
82900,-2.188321
83000,-2.1792798
83100,-2.0732727
83200,-2.2084746
83300,-2.2175589
83400,-2.3412936
83500,-1.901874
83600,-2.0694838
83700,-2.1244433
83800,-2.1061225
83900,-2.005217
84000,-2.3807273
84100,-2.0327287
84200,-1.8451262
84300,-1.9947975
84400,-2.3920968
84500,-2.3996234
84600,-1.8855081
84700,-2.3717604
84800,-2.2373717
84900,-2.1618686
85000,-2.305787
85100,-1.8809892
85200,-1.9386717
85300,-2.1891994
85400,-1.9166722
85500,-1.8111928
85600,-1.902862
85700,-1.9516022
85800,-1.8816185
85900,-2.0765295
86000,-1.8879721
86100,-2.6208792
86200,-2.1080842
86300,-2.3332043
86400,-2.2416675
86500,-2.25299
86600,-2.0836165
86700,-1.8941393
86800,-1.8595549
86900,-2.2056346
87000,-1.8702203
87100,-1.839937
87200,-2.2608747
87300,-2.3093476
87400,-2.4357228
87500,-2.1091392
87600,-2.1324606
87700,-2.3287883
87800,-2.7074697
87900,-1.9617211
88000,-2.367567
88100,-1.9424667
88200,-1.8173308
88300,-2.0632005
88400,-2.408451
88500,-1.925972
88600,-2.2219927
88700,-2.047661
88800,-2.2733326
88900,-2.0965242
89000,-2.337136
89100,-1.8905082
89200,-2.5030715
89300,-2.1393383
89400,-1.979502
89500,-2.225998
89600,-1.9695365
89700,-1.8379731
89800,-2.396971
89900,-1.9189442
90000,-2.5275924
90100,-2.1323242
90200,-1.9683686
90300,-2.1761231
90400,-1.8984092
90500,-1.8365818
90600,-2.422438
90700,-2.1345408
90800,-1.8820235
90900,-1.9368612
91000,-2.1065288
91100,-1.8934587
91200,-2.3385563
91300,-1.965384
91400,-2.2192233
91500,-2.428792
91600,-1.9154103
91700,-1.9786501
91800,-1.8251599
91900,-1.9412636
92000,-1.8161292
92100,-2.0138657
92200,-2.6258466
92300,-2.4494326
92400,-2.0534184
92500,-2.102347
92600,-1.789573
92700,-2.483243
92800,-2.0186746
92900,-2.1234956
93000,-2.482809
93100,-1.8718785
93200,-2.3899636
93300,-1.9536241
93400,-2.2211037
93500,-2.475608
93600,-1.8673377
93700,-1.9476949
93800,-2.1265054
93900,-2.1889563
94000,-2.7362134
94100,-1.98056
94200,-2.9286127
94300,-1.8516128
94400,-2.136062
94500,-1.9555986
94600,-2.3521416
94700,-1.8971523
94800,-2.3288436
94900,-1.8388783
95000,-2.5064409
95100,-2.2083046
95200,-2.6525643
95300,-2.7147672
95400,-1.9917841
95500,-2.3668814
95600,-2.5500937
95700,-2.3363118
95800,-2.0037966
95900,-1.9893051
96000,-2.0657356
96100,-2.9024353
96200,-1.8679023
96300,-2.8708737
96400,-1.8941683
96500,-2.0065467
96600,-1.9678855
96700,-1.9943625
96800,-2.4632175
96900,-2.2425773
97000,-2.120745
97100,-2.7085001
97200,-1.8553648
97300,-1.9203099
97400,-1.8675332
97500,-2.2713861
97600,-2.8110125
97700,-2.2168646
97800,-2.1082337
97900,-2.218317
98000,-1.9822077
98100,-2.018849
98200,-2.148865
98300,-2.2202065
98400,-2.2561307
98500,-2.6515155
98600,-2.1981459
98700,-2.1944969
98800,-1.8047094
98900,-1.7579762
99000,-1.8402432
99100,-2.0332143
99200,-1.9829948
99300,-2.4198081
99400,-2.6662786
99500,-2.4106019
99600,-1.8981749
99700,-2.2316384
99800,-3.022125
99900,-2.2383127
100000,-1.9478331
